x,y,count,PorR,time_stamp
2529,400,90,True,15:38:29.002474
2528,400,90,False,15:38:29.084250
1705,405,91,True,15:38:33.166870
1705,405,91,False,15:38:33.294579
2362,82,92,True,15:38:39.199003
2362,82,92,False,15:38:39.294513
2321,597,93,True,15:38:41.866860
2321,597,93,False,15:38:41.994365
1602,1406,94,True,15:38:43.551991
1602,1406,94,False,15:38:43.662698
1593,1370,95,True,15:38:45.611074
1593,1370,95,False,15:38:45.723069
2463,77,96,True,15:38:47.994010
2463,77,96,False,15:38:48.090748
2431,212,97,True,15:38:52.082883
2431,212,97,False,15:38:52.434276
2353,87,98,True,15:38:53.990583
2353,87,98,False,15:38:54.102728
2041,449,99,True,15:38:59.238822
2016,463,99,False,15:39:05.598939
2021,459,100,True,15:39:09.126624
1890,663,100,False,15:39:20.503008
2338,677,101,True,15:39:21.498987
2338,677,101,False,15:39:21.594756
1653,370,102,True,15:39:22.490598
1653,370,102,False,15:39:22.602165
1708,409,103,True,15:39:26.342792
1708,409,103,False,15:39:26.470069
2364,87,104,True,15:39:29.110834
2364,87,104,False,15:39:29.238641
1992,473,105,True,15:39:41.819071
1980,171,105,False,15:39:46.258676
2477,145,106,True,15:39:49.173910
2477,145,106,False,15:39:49.319031
1820,469,107,True,15:39:53.602104
1820,469,107,False,15:39:53.731396
1703,409,108,True,15:39:57.843030
1703,409,108,False,15:39:57.970806
1763,251,109,True,15:40:46.466155
1763,251,109,False,15:40:46.595604
1745,548,110,True,15:40:58.439145
1745,548,110,False,15:40:58.598912
1754,521,111,True,15:40:59.030681
1754,521,111,False,15:40:59.142388
1770,543,112,True,15:41:02.158999
1770,543,112,False,15:41:02.334315
2372,83,113,True,15:41:26.834355
2372,83,113,False,15:41:26.930978
2074,453,114,True,15:41:31.959040
2060,610,114,False,15:41:40.529880
2468,606,115,True,15:41:41.458582
2468,606,115,False,15:41:41.586772
1867,550,116,True,15:41:42.354394
1867,550,116,False,15:41:42.466623
1818,504,117,True,15:41:46.074027
1818,504,117,False,15:41:46.266725
2353,102,118,True,15:41:54.782629
2353,102,118,False,15:41:54.910979
2490,442,119,True,15:41:59.894422
2490,442,119,False,15:42:00.006133
1705,451,120,True,15:42:08.274290
1705,451,120,False,15:42:08.418968
1860,410,121,True,15:42:13.786758
1860,410,121,False,15:42:13.898706
1823,558,122,True,15:42:16.486802
1823,558,122,False,15:42:16.598282
1659,410,123,True,15:42:22.522852
1659,410,123,False,15:42:22.634664
2376,74,124,True,15:42:26.242447
2376,74,124,False,15:42:26.338686
2479,447,125,True,15:42:34.570070
2479,447,125,False,15:42:34.650871
2365,90,126,True,15:42:38.794858
2365,90,126,False,15:42:38.922943
2497,462,127,True,15:42:44.839012
2497,462,127,False,15:42:44.918667
2369,85,128,True,15:42:49.494290
2369,86,128,False,15:42:49.591117
2495,446,129,True,15:43:22.690453
2495,446,129,False,15:43:22.802625
1946,406,130,True,15:43:32.087769
1946,406,130,False,15:43:32.230674
1821,552,131,True,15:43:50.666267
1821,552,131,False,15:43:50.810942
1756,267,132,True,15:44:07.078074
1756,267,132,False,15:44:07.222900
1732,305,133,True,15:44:08.138746
1732,305,133,False,15:44:08.235469
1752,616,134,True,15:44:25.978922
1752,617,134,False,15:44:26.122681
1806,348,135,True,15:44:29.826360
1806,348,135,False,15:44:29.970377
1940,578,136,True,15:44:39.414419
1940,578,136,False,15:44:39.574732
2357,93,137,True,15:44:50.598782
2357,93,137,False,15:44:50.710888
2481,470,138,True,15:45:02.898607
2481,470,138,False,15:45:03.090889
1875,532,139,True,15:45:18.699532
1875,532,139,False,15:45:18.810904
1893,520,140,True,15:45:19.414720
1893,520,140,False,15:45:19.542715
1929,485,141,True,15:45:20.974680
1929,485,141,False,15:45:21.086705
1944,450,142,True,15:45:21.934873
1944,450,142,False,15:45:22.062580
1796,566,143,True,15:45:22.738889
1796,566,143,False,15:45:22.850607
1810,557,144,True,15:45:23.298449
1810,557,144,False,15:45:23.378702
1834,537,145,True,15:45:23.714555
1834,537,145,False,15:45:23.810415
1845,529,146,True,15:45:24.522873
1845,529,146,False,15:45:24.650774
1829,542,147,True,15:45:25.174706
1829,542,147,False,15:45:25.301936
1842,528,148,True,15:45:25.879040
1842,528,148,False,15:45:25.990870
1941,548,149,True,15:45:35.362192
1941,548,149,False,15:45:35.474536
1534,588,150,True,15:45:42.350585
1534,588,150,False,15:45:42.430821
1543,581,151,True,15:46:09.842722
1543,581,151,False,15:46:09.986771
1957,592,152,True,15:46:14.594756
1957,592,152,False,15:46:14.674587
1625,589,153,True,15:46:16.410531
1625,589,153,False,15:46:16.529407
2342,74,154,True,15:46:19.946657
2342,74,154,False,15:46:20.041774
2469,451,155,True,15:46:43.482182
2469,454,155,False,15:46:43.610845
1550,594,156,True,15:46:49.514656
1550,594,156,False,15:46:49.642865
2363,91,157,True,15:47:05.270645
2363,91,157,False,15:47:05.365896
2474,445,158,True,15:47:17.474639
2475,445,158,False,15:47:17.570007
658,1320,159,True,15:47:20.694300
658,1320,159,False,15:47:20.838477
687,1325,160,True,15:47:23.018815
687,1325,160,False,15:47:23.114530
