key,PorR,time_stamp
'8',False,15:23:32.329527
'1',True,15:23:34.209297
'1',False,15:23:34.239768
'0',True,15:23:34.339136
'0',False,15:23:34.394246
Key.right,True,15:23:35.187687
Key.right,False,15:23:35.222363
Key.enter,True,15:23:40.142585
Key.enter,False,15:23:40.203350
Key.ctrl_l,True,15:23:45.317850
'\x03',True,15:23:45.413281
Key.ctrl_l,False,15:23:45.458230
'c',False,15:23:45.480026
Key.ctrl_l,True,15:23:46.406226
'\x16',True,15:23:46.479623
Key.ctrl_l,False,15:23:46.532479
'v',False,15:23:46.552430
Key.enter,True,15:23:50.157290
Key.enter,False,15:23:50.186218
Key.enter,True,15:23:51.448857
Key.enter,False,15:23:51.494758
Key.enter,True,15:24:06.455008
Key.enter,False,15:24:06.514861
Key.up,True,15:24:06.801310
Key.up,False,15:24:06.869621
'l',True,15:24:07.718109
'l',False,15:24:07.782920
'e',True,15:24:07.848744
'e',False,15:24:07.943017
'f',True,15:24:07.982425
'f',False,15:24:08.011348
't',True,15:24:08.115071
't',False,15:24:08.159950
Key.shift,True,15:24:08.763995
'(',True,15:24:09.187180
'(',False,15:24:09.227917
Key.shift,False,15:24:09.306729
'l',True,15:24:19.971703
'l',False,15:24:20.044507
'e',True,15:24:20.088390
'e',False,15:24:20.146822
't',True,15:24:20.359119
't',False,15:24:20.423253
Key.backspace,True,15:24:22.083215
Key.backspace,False,15:24:22.143213
'f',True,15:24:22.306862
'f',False,15:24:22.352740
't',True,15:24:22.511251
't',False,15:24:22.553138
Key.shift,True,15:24:22.797530
'(',True,15:24:23.007966
Key.shift,False,15:24:23.029430
'8',False,15:24:23.063336
'1',True,15:24:23.676142
'1',False,15:24:23.720906
'8',True,15:24:23.951640
'8',False,15:24:24.014478
'0',True,15:24:24.136146
'0',False,15:24:24.186013
Key.left,True,15:24:25.572941
Key.left,False,15:24:25.642879
Key.left,True,15:24:25.775241
Key.left,False,15:24:25.805072
Key.left,True,15:24:25.954123
Key.left,False,15:24:25.984434
Key.left,True,15:24:26.402209
Key.left,False,15:24:26.467988
Key.backspace,True,15:24:27.179367
Key.backspace,False,15:24:27.214855
Key.backspace,True,15:24:27.326809
Key.backspace,False,15:24:27.392499
Key.backspace,True,15:24:27.496550
Key.backspace,False,15:24:27.552400
Key.backspace,True,15:24:27.659888
Key.backspace,False,15:24:27.721468
Key.backspace,True,15:24:27.864991
Key.backspace,False,15:24:27.926820
Key.right,True,15:24:28.327382
Key.right,False,15:24:28.382239
Key.right,True,15:24:28.518659
Key.right,False,15:24:28.564090
Key.right,True,15:24:28.672958
Key.right,False,15:24:28.737800
Key.right,True,15:24:28.826547
Key.right,False,15:24:28.876414
Key.right,True,15:24:28.969106
Key.right,False,15:24:29.043937
Key.right,True,15:24:29.177256
Key.right,False,15:24:29.238160
Key.backspace,True,15:24:29.751625
Key.backspace,False,15:24:29.797343
Key.backspace,True,15:24:41.259267
Key.backspace,False,15:24:41.299161
'7',True,15:24:41.717845
'7',False,15:24:41.763769
Key.backspace,True,15:26:21.065285
Key.backspace,False,15:26:21.120967
Key.ctrl_l,True,15:26:44.430844
'\x03',True,15:26:44.506479
Key.ctrl_l,False,15:26:44.569133
'c',False,15:26:44.586563
Key.ctrl_l,True,15:26:46.456857
'\x16',True,15:26:46.542134
Key.ctrl_l,False,15:26:46.582030
'v',False,15:26:46.607136
Key.enter,True,15:26:58.052555
Key.enter,False,15:26:58.098472
Key.enter,True,15:27:11.971807
Key.enter,False,15:27:12.022208
'f',True,15:27:13.054917
'f',False,15:27:13.097810
'o',True,15:27:13.305569
'o',False,15:27:13.385843
'r',True,15:27:13.425385
'r',False,15:27:13.470263
Key.space,True,15:27:13.999193
Key.space,False,15:27:14.032104
'j',True,15:27:14.640836
'j',False,15:27:14.675746
Key.space,True,15:27:14.874595
Key.space,False,15:27:14.918481
'i',True,15:27:15.200668
'n',True,15:27:15.300400
'i',False,15:27:15.322341
'n',False,15:27:15.349784
Key.space,True,15:27:15.435066
Key.space,False,15:27:15.473962
'r',True,15:27:16.022730
'a',True,15:27:16.130525
'r',False,15:27:16.166428
'a',False,15:27:16.228775
'n',True,15:27:16.431020
'n',False,15:27:16.470916
'g',True,15:27:16.679972
'e',True,15:27:16.773707
'g',False,15:27:16.793658
'e',False,15:27:16.839058
Key.space,True,15:27:17.309232
Key.space,False,15:27:17.360773
Key.backspace,True,15:27:18.043395
Key.backspace,False,15:27:18.079301
Key.shift,True,15:27:18.928314
'(',True,15:27:19.094952
'(',False,15:27:19.164760
Key.shift,False,15:27:19.344218
'9',True,15:27:25.466152
'9',False,15:27:25.486108
':',True,15:27:27.477563
':',False,15:27:27.517393
Key.tab,True,15:27:31.540102
Key.tab,False,15:27:31.589993
Key.down,True,15:27:31.880636
Key.down,False,15:27:31.946220
Key.left,True,15:27:32.104777
Key.left,False,15:27:32.124465
Key.left,True,15:27:32.249704
Key.left,False,15:27:32.299090
Key.left,True,15:27:32.404649
Key.left,False,15:27:32.464919
Key.left,True,15:27:32.606169
Key.left,False,15:27:32.666030
Key.tab,True,15:27:32.930411
Key.tab,False,15:27:32.984894
Key.enter,True,15:27:50.538242
Key.enter,False,15:27:50.597632
'j',True,15:27:51.894646
'j',False,15:27:51.938533
Key.space,True,15:27:52.215147
<240>,True,15:27:52.293901
Key.space,False,15:27:52.314642
'-',True,15:27:52.474441
'-',False,15:27:52.548529
Key.space,True,15:27:52.650258
Key.space,False,15:27:52.688156
Key.backspace,True,15:27:53.880523
Key.backspace,False,15:27:53.956361
Key.shift,True,15:27:55.519557
'=',True,15:27:55.613807
'=',False,15:27:55.670657
Key.shift,False,15:27:55.704457
Key.space,True,15:27:56.064110
Key.space,False,15:27:56.119179
Key.backspace,True,15:27:56.940336
Key.backspace,False,15:27:57.004875
<244>,False,15:27:57.576803
<243>,True,15:27:57.587023
Key.shift,True,15:27:58.335377
'=',True,15:27:58.578965
'=',False,15:27:58.635960
Key.shift,False,15:27:58.700571
Key.space,True,15:27:59.032255
Key.space,False,15:27:59.082119
'6',True,15:28:00.641820
'6',False,15:28:00.669745
'0',True,15:28:00.747251
'0',False,15:28:00.795545
Key.backspace,True,15:28:04.877402
Key.backspace,False,15:28:04.933503
Key.backspace,True,15:28:05.129222
Key.backspace,False,15:28:05.163838
'j',True,15:28:05.290907
'j',False,15:28:05.316864
Key.backspace,True,15:28:12.232835
Key.backspace,False,15:28:12.278165
'c',True,15:28:15.474069
'c',False,15:28:15.515955
Key.down,True,15:28:16.135289
Key.down,False,15:28:16.204761
Key.backspace,True,15:28:18.321109
Key.backspace,False,15:28:18.375583
'd',True,15:28:18.502112
'd',False,15:28:18.543654
Key.backspace,True,15:28:21.866166
Key.backspace,False,15:28:21.927802
'd',True,15:28:22.315985
'd',False,15:28:22.347904
Key.ctrl_l,True,15:28:29.884453
'\x03',True,15:28:29.999033
Key.ctrl_l,False,15:28:30.054257
'c',False,15:28:30.084656
Key.enter,True,15:28:34.081910
Key.enter,False,15:28:34.147247
Key.ctrl_l,True,15:28:34.190950
'\x16',True,15:28:34.261344
Key.ctrl_l,False,15:28:34.310015
'v',False,15:28:34.329964
Key.backspace,True,15:28:36.652021
Key.backspace,False,15:28:36.702107
Key.backspace,True,15:28:36.810065
Key.backspace,False,15:28:36.850960
Key.backspace,True,15:28:36.945704
Key.backspace,False,15:28:37.000566
Key.backspace,True,15:28:37.089594
Key.backspace,False,15:28:37.144633
Key.backspace,True,15:28:37.236790
Key.backspace,False,15:28:37.291999
Key.backspace,True,15:28:37.379992
Key.backspace,False,15:28:37.434853
Key.backspace,True,15:28:37.528611
Key.backspace,False,15:28:37.567505
Key.backspace,True,15:28:37.681854
Key.backspace,False,15:28:37.720752
Key.backspace,True,15:28:38.076940
Key.backspace,False,15:28:38.126820
Key.ctrl_l,True,15:28:47.447386
'\x03',True,15:28:47.557892
Key.ctrl_l,False,15:28:47.597835
'c',False,15:28:47.632581
Key.enter,True,15:28:49.523201
Key.enter,False,15:28:49.598883
Key.ctrl_l,True,15:28:49.638221
'\x16',True,15:28:49.693773
Key.ctrl_l,False,15:28:49.743079
'v',False,15:28:49.763899
Key.tab,True,15:28:52.164942
Key.tab,False,15:28:52.230753
Key.backspace,True,15:28:55.463420
Key.backspace,False,15:28:55.552874
Key.backspace,True,15:28:55.921232
Key.backspace,False,15:28:55.988567
Key.enter,True,15:29:08.170893
Key.enter,False,15:29:08.210953
Key.backspace,True,15:29:08.549900
Key.backspace,False,15:29:08.584872
'j',True,15:29:10.379294
'j',False,15:29:10.415169
Key.space,True,15:29:12.247292
Key.space,False,15:29:12.308044
Key.shift,True,15:29:12.614366
Key.shift,False,15:29:12.704122
Key.shift,True,15:29:12.999571
'=',True,15:29:13.154658
'=',False,15:29:13.200535
Key.shift,False,15:29:13.219880
Key.space,True,15:29:13.409305
Key.space,False,15:29:13.456000
'j',True,15:29:14.405249
'j',False,15:29:14.449722
Key.space,True,15:29:15.156266
Key.space,False,15:29:15.201210
Key.shift,True,15:29:15.273134
'+',True,15:29:15.432966
'+',False,15:29:15.474756
Key.shift,False,15:29:15.518650
Key.space,True,15:29:15.582995
Key.space,False,15:29:15.634849
'1',True,15:29:16.630569
'1',False,15:29:16.665194
'0',True,15:29:16.742907
'0',False,15:29:16.762862
Key.backspace,True,15:29:21.394031
Key.backspace,False,15:29:21.443738
Key.backspace,True,15:29:21.992866
Key.backspace,False,15:29:22.062825
Key.backspace,True,15:29:29.357542
Key.backspace,False,15:29:29.412679
'd',True,15:29:29.737004
'd',False,15:29:29.783884
Key.right,True,15:29:30.045627
Key.right,False,15:29:30.115437
Key.right,True,15:29:30.233122
Key.right,False,15:29:30.274017
Key.right,True,15:29:30.394843
Key.right,False,15:29:30.429791
Key.right,True,15:29:30.555900
Key.right,False,15:29:30.602302
Key.backspace,True,15:29:31.546333
Key.backspace,False,15:29:31.593023
'd',True,15:29:31.698484
'd',False,15:29:31.723416
Key.backspace,True,15:32:03.220828
Key.backspace,False,15:32:03.270212
'4',True,15:32:03.614141
'4',False,15:32:03.665841
Key.enter,True,15:32:21.114025
Key.enter,False,15:32:21.162899
Key.ctrl_l,True,15:32:25.367874
'\x03',True,15:32:25.487473
Key.ctrl_l,False,15:32:25.548212
'c',False,15:32:25.568198
Key.ctrl_l,True,15:32:26.221490
'\x16',True,15:32:26.296659
Key.ctrl_l,False,15:32:26.331605
'v',False,15:32:26.352141
Key.left,True,15:32:28.516630
Key.left,False,15:32:28.612366
Key.backspace,True,15:32:29.222523
Key.backspace,False,15:32:29.246466
'1',True,15:32:29.679387
'1',False,15:32:29.724835
'0',True,15:32:29.805083
'0',False,15:32:29.845592
Key.enter,True,15:33:31.589376
Key.enter,False,15:33:31.649223
Key.backspace,True,15:33:32.055317
Key.backspace,False,15:33:32.095163
'i',True,15:33:34.007801
'i',False,15:33:34.048692
'f',True,15:33:34.108531
'f',False,15:33:34.177347
Key.space,True,15:33:34.520392
Key.space,False,15:33:34.549645
'j',True,15:33:39.094426
'j',False,15:33:39.139305
Key.space,True,15:33:39.450593
Key.space,False,15:33:39.545299
Key.shift,True,15:33:39.604772
'=',True,15:33:40.009761
Key.shift,False,15:33:40.084722
'-',False,15:33:40.104721
Key.space,True,15:33:40.201841
Key.space,False,15:33:40.246994
Key.backspace,True,15:34:15.748770
Key.backspace,False,15:34:15.869777
Key.backspace,True,15:34:16.064323
Key.backspace,False,15:34:16.142107
Key.backspace,True,15:34:16.326230
Key.backspace,False,15:34:16.399111
Key.backspace,True,15:34:16.593795
Key.backspace,False,15:34:16.673155
Key.backspace,True,15:34:16.876085
Key.backspace,False,15:34:16.959865
Key.backspace,True,15:34:17.115713
Key.backspace,False,15:34:17.197574
Key.backspace,True,15:34:17.352982
Key.backspace,False,15:34:17.412473
'i',True,15:34:29.954697
'i',False,15:34:30.008552
'f',True,15:34:30.075375
'f',False,15:34:30.125240
Key.space,True,15:34:30.303766
Key.space,False,15:34:30.364119
'j',True,15:34:32.982408
'j',False,15:34:33.022304
Key.space,True,15:34:33.284603
Key.space,False,15:34:33.317515
Key.shift,True,15:34:34.120382
'=',True,15:34:34.280284
Key.shift,False,15:34:34.345034
'-',False,15:34:34.364805
Key.space,True,15:34:34.489524
Key.space,False,15:34:34.538961
'1',True,15:34:35.877179
'1',False,15:34:35.952467
':',True,15:34:36.949244
':',False,15:34:37.008438
Key.backspace,True,15:34:40.544713
Key.backspace,False,15:34:40.624794
Key.backspace,True,15:34:41.736667
Key.backspace,False,15:34:41.916419
Key.backspace,True,15:34:42.061321
Key.backspace,False,15:34:42.186580
Key.backspace,True,15:34:42.309244
Key.backspace,False,15:34:42.473808
Key.backspace,True,15:34:42.673329
Key.backspace,False,15:34:42.783459
Key.backspace,True,15:34:43.020774
Key.backspace,False,15:34:43.104715
Key.backspace,True,15:34:54.670965
Key.backspace,False,15:34:54.788955
Key.backspace,True,15:34:54.958158
Key.backspace,False,15:34:55.077833
Key.backspace,True,15:34:55.208141
Key.backspace,False,15:34:55.328242
Key.backspace,True,15:34:55.513812
Key.backspace,False,15:34:55.617537
Key.backspace,True,15:34:55.846730
Key.backspace,False,15:34:55.903743
Key.enter,True,15:35:40.316339
Key.enter,False,15:35:40.405875
Key.backspace,True,15:35:41.395223
Key.backspace,False,15:35:41.450761
'i',True,15:36:25.377167
'i',False,15:36:25.416963
'f',True,15:36:25.499806
'f',False,15:36:25.554669
Key.space,True,15:36:25.642669
Key.space,False,15:36:25.684698
'j',True,15:36:27.012339
'j',False,15:36:27.047251
Key.space,True,15:36:27.196754
Key.space,False,15:36:27.242043
'i',True,15:36:27.530738
'i',False,15:36:27.619884
Key.space,True,15:36:27.799838
Key.space,False,15:36:27.851672
Key.backspace,True,15:36:28.790411
Key.backspace,False,15:36:28.851266
'n',True,15:36:29.297888
'n',False,15:36:29.336848
Key.space,True,15:36:29.462708
Key.space,False,15:36:29.506988
'j',True,15:36:33.186772
'j',False,15:36:33.261575
Key.backspace,True,15:36:40.687085
Key.backspace,False,15:36:40.776286
Key.backspace,True,15:37:01.636948
Key.backspace,False,15:37:01.692320
Key.backspace,True,15:37:01.824300
